00b5a338	AIDebugShowPlansToggle()	"AIDebugShowPlansToggle()"	ds	1
00b671a0	rmRiverSetShallowRadius(riverID, radius);	"rmRiverSetShallowRadius(riverID, radius);"	ds	1
00b671e8	rmRiverSetBankNoiseParams(riverID, frequency, octaves, persistence, sineLength, sineAmt, variation);	"rmRiverSetBankNoiseParams(riverID, frequency, octaves, persistence, sineLength, sineAmt, variation);"	ds	1
00b67270	rmRiverAddWaypoint(riverID, xFraction, zFraction): Add waypoint to a river.  Don't mix with rmRiverSetConnections or rmRiverConnectRiver	"rmRiverAddWaypoint(riverID, xFraction, zFraction): Add waypoint to a river.  Don't mix with rmRiverSetConnections or rmRiverConnectRiver"	ds	1
00b67310	rmRiverConnectRiver(riverID, riverID, pct, end);	"rmRiverConnectRiver(riverID, riverID, pct, end);"	ds	1
00b67358	rmRiverSetConnections(riverID, start, end);	"rmRiverSetConnections(riverID, start, end);"	ds	1
00b673a0	rmRiverCreate(int areaID, string waterType, int breaks, int offset, int minR, int maxR): make a river dude.	"rmRiverCreate(int areaID, string waterType, int breaks, int offset, int minR, int maxR): make a river dude."	ds	1
00b67420	rmAddAreaCliffEdgeAvoidClass(int areaID, int avoidID, float minDist): Adds a class for an area's cliff edge to avoid.	"rmAddAreaCliffEdgeAvoidClass(int areaID, int avoidID, float minDist): Adds a class for an area's cliff edge to avoid."	ds	1
00b674b8	rmSetAreaCliffHeight(int areaID, float val, float variance, float ramp): Set an area's cliff height.	"rmSetAreaCliffHeight(int areaID, float val, float variance, float ramp): Set an area's cliff height."	ds	1
00b67538	rmSetAreaCliffEdge(int areaID, int count, float size, float variance, float spacing, int mapEdge): Set cliff edge parameters for an area.	"rmSetAreaCliffEdge(int areaID, int count, float size, float variance, float spacing, int mapEdge): Set cliff edge parameters for an area."	ds	1
00b675d8	rmSetAreaCliffPainting(int areaID, bool paintGround, bool paintOutsideEdge, bool paintSide, float minSideHeight, bool paintInsideEdge): Set cliff painting options for an area.	"rmSetAreaCliffPainting(int areaID, bool paintGround, bool paintOutsideEdge, bool paintSide, float minSideHeight, bool paintInsideEdge): Set cliff painting options for an area."	ds	1
00b676a0	rmSetAreaCliffType(int areaID, string cliffName): Sets the cliff type for an area.	"rmSetAreaCliffType(int areaID, string cliffName): Sets the cliff type for an area."	ds	1
00b677f8	rmSetAreaWaterType(int areaID, string waterName): Sets the water type for an area.	"rmSetAreaWaterType(int areaID, string waterName): Sets the water type for an area."	ds	1
00b67860	rmSetAreaForestUnderbrush(int areaID, float density): Sets the forest density for an area.	"rmSetAreaForestUnderbrush(int areaID, float density): Sets the forest density for an area."	ds	1
00b678d8	rmSetAreaForestClumpiness(int areaID, float density): Sets the forest density for an area.	"rmSetAreaForestClumpiness(int areaID, float density): Sets the forest density for an area."	ds	1
00b67950	rmSetAreaForestDensity(int areaID, float density): Sets the forest density for an area.	"rmSetAreaForestDensity(int areaID, float density): Sets the forest density for an area."	ds	1
00b67a10	rmSetAreaForestType(int areaID, string forestName): Sets the forest type for an area.	"rmSetAreaForestType(int areaID, string forestName): Sets the forest type for an area."	ds	1
00b67a80	rmSetAreaWarnFailure(int areaID, bool warn): Sets whether the area build process will warn if it fails.	"rmSetAreaWarnFailure(int areaID, bool warn): Sets whether the area build process will warn if it fails."	ds	1
00b67b00	rmSetAreaBaseHeight(int areaID, float height): Sets the base height for an area.	"rmSetAreaBaseHeight(int areaID, float height): Sets the base height for an area."	ds	1
00b67b68	rmPaintAreaTerrainByAngle(long areaID, string terrain, float minAngle, float maxAngle, float outerRange): Paints the area's tiles in the specified angle range with specified terrain (with outerRange buffer if feathering is desired).	"rmPaintAreaTerrainByAngle(long areaID, string terrain, float minAngle, float maxAngle, float outerRange): Paints the area's tiles in the specified angle range with specified terrain (with outerRange buffer if feathering is desired)."	ds	1
00b67c70	rmPaintAreaTerrainByHeight(long areaID, string terrain, float minHeight, float maxHeight, float outerRange): Paints the area's tiles in the specified height range with specified terrain (with outerRange buffer if feathering is desired).	"rmPaintAreaTerrainByHeight(long areaID, string terrain, float minHeight, float maxHeight, float outerRange): Paints the area's tiles in the specified height range with specified terrain (with outerRange buffer if feathering is desired)."	ds	1
00b67d80	rmPaintAreaTerrain(int areaID): Paints the terrain for a specified area.	"rmPaintAreaTerrain(int areaID): Paints the terrain for a specified area."	ds	1
00b67de0	rmSetAreaMix(int areaID, string mixName): Sets the mix for an area.  Overrides terrain type if it is also set.	"rmSetAreaMix(int areaID, string mixName): Sets the mix for an area.  Overrides terrain type if it is also set."	ds	1
00b67e60	rmSetAreaTerrainType(int areaID, string terrainTypeName): Sets the terrain type for an area.	"rmSetAreaTerrainType(int areaID, string terrainTypeName): Sets the terrain type for an area."	ds	1
00b67ed8	rmBuildAllAreas(): Simulatenously builds all unbuilt areas.	"rmBuildAllAreas(): Simulatenously builds all unbuilt areas."	ds	1
00b67f24	rmBuildArea(int areaID): Builds the specified area.	"rmBuildArea(int areaID): Builds the specified area."	ds	1
00b67f68	rmSetAreaLocTeam(int areaID, int teamID): Set the area location to team's location.	"rmSetAreaLocTeam(int areaID, int teamID): Set the area location to team's location."	ds	1
00b67fd0	rmSetAreaLocPlayer(int areaID, int playerID): Set the area location to player's location.	"rmSetAreaLocPlayer(int areaID, int playerID): Set the area location to player's location."	ds	1
00b68040	rmSetAreaLocation(int areaID, float xFraction, float zFraction): Set the area location.	"rmSetAreaLocation(int areaID, float xFraction, float zFraction): Set the area location."	ds	1
00b680b0	rmSetAreaEdgeFilling(int areaID, int borderSize): Enable edge filling and set a border search size (for Carolina and similar maps with a big continent).	"rmSetAreaEdgeFilling(int areaID, int borderSize): Enable edge filling and set a border search size (for Carolina and similar maps with a big continent)."	ds	1
00b68168	rmSetAreaSize(float minFraction, float maxFraction): Set the area size to a min/max fraction of the map.	"rmSetAreaSize(float minFraction, float maxFraction): Set the area size to a min/max fraction of the map."	ds	1
00b681e4	rmCreateArea(string name, int parentAreaID): Creates an area.	"rmCreateArea(string name, int parentAreaID): Creates an area."	ds	1
00b68238	rmZFractionToMeters(float meters): Converts meters a fraction of the map in the z direction to meters.	"rmZFractionToMeters(float meters): Converts meters a fraction of the map in the z direction to meters."	ds	1
00b682b8	rmXFractionToMeters(float meters): Converts a fraction of the map in the x direction to meters.	"rmXFractionToMeters(float meters): Converts a fraction of the map in the x direction to meters."	ds	1
00b68330	rmZMetersToFraction(float meters): Converts meters into a fraction of the map in the z direction.	"rmZMetersToFraction(float meters): Converts meters into a fraction of the map in the z direction."	ds	1
00b683a8	rmXMetersToFraction(float meters): Converts meters into a fraction of the map in the x direction.	"rmXMetersToFraction(float meters): Converts meters into a fraction of the map in the x direction."	ds	1
00b68420	rmTilesToMeters(int tiles): Converts a number of tiles to a distance in meters.	"rmTilesToMeters(int tiles): Converts a number of tiles to a distance in meters."	ds	1
00b68480	rmMetersToTiles(float meters): Converts a distance in meters to a number of tiles.	"rmMetersToTiles(float meters): Converts a distance in meters to a number of tiles."	ds	1
00b684e8	rmDegreesToRadians(float degrees): Converts an angle in degrees to radians.	"rmDegreesToRadians(float degrees): Converts an angle in degrees to radians."	ds	1
00b68548	rmZTilesToFraction(int tiles): Converts tile count in the z direction to fraction of map.	"rmZTilesToFraction(int tiles): Converts tile count in the z direction to fraction of map."	ds	1
00b685b8	rmZFractionToTiles(float fraction): Converts an fraction of the map in the z direction to tile count.	"rmZFractionToTiles(float fraction): Converts an fraction of the map in the z direction to tile count."	ds	1
00b68638	rmXTilesToFraction(int tiles): Converts tile count in the x direction to fraction of map.	"rmXTilesToFraction(int tiles): Converts tile count in the x direction to fraction of map."	ds	1
00b686a8	rmXFractionToTiles(float fraction): Converts an fraction of the map in the x direction to tile count.	"rmXFractionToTiles(float fraction): Converts an fraction of the map in the x direction to tile count."	ds	1
00b68728	rmAreaTilesToFraction(int tiles): Converts area tile count to fraction of map.	"rmAreaTilesToFraction(int tiles): Converts area tile count to fraction of map."	ds	1
00b68790	rmAreaFractionToTiles(float fraction): Converts an area from fraction of the map to tile count.	"rmAreaFractionToTiles(float fraction): Converts an area from fraction of the map to tile count."	ds	1
00b68808	rmSetMapClusteringNoiseParams(float minFrequency, int octaves, float persistence): sets up cluster system; standard inputs to noise generator used to determine cluster placement.	"rmSetMapClusteringNoiseParams(float minFrequency, int octaves, float persistence): sets up cluster system; standard inputs to noise generator used to determine cluster placement."	ds	1
00b688e0	rmSetMapClusteringObjectParams(int minObjectCount, int maxObjectCount, float maxPosOffset): sets up cluster system; min/max objects per tile (default: 0-3), and max random offset when placing (default: 0.5 tiles).	"rmSetMapClusteringObjectParams(int minObjectCount, int maxObjectCount, float maxPosOffset): sets up cluster system; min/max objects per tile (default: 0-3), and max random offset when placing (default: 0.5 tiles)."	ds	1
00b689d8	rmSetMapClusteringPlacementParams(float paintThreshold, float placeMinVal, float placeMaxVal, int type): sets up cluster system; valid ranges are from -1.0 to 1.0 and are compared to the internal noise field for deciding where to paint terrain and place clusters. Type is cClusterLand, or cClusterWater, or cClusterShallowWater, or cClusterEverywhere.	"rmSetMapClusteringPlacementParams(float paintThreshold, float placeMinVal, float placeMaxVal, int type): sets up cluster system; valid ranges are from -1.0 to 1.0 and are compared to the internal noise field for deciding where to paint terrain and place clusters. Type is cClusterLand, or cClusterWater, or cClusterShallowWater, or cClusterEverywhere."	ds	1
00b68b60	rmPlaceMapClusters(string terrain, string protounit): place object clusters (of the specified protounit) around the map, and also optionally paint with the specified terrain.	"rmPlaceMapClusters(string terrain, string protounit): place object clusters (of the specified protounit) around the map, and also optionally paint with the specified terrain."	ds	1
00b68c28	rmSetMapElevationHeightBlend(int blend): Sets how much to smooth the overall terrain after initializing with noise.	"rmSetMapElevationHeightBlend(int blend): Sets how much to smooth the overall terrain after initializing with noise."	ds	1
00b68cc0	rmAddMapTerrainByAngleInfo(string terrain, float minSlope, float maxSlope, float outerRange): Adds a terrain to paint on tiles that are sloped between the specified angles (0 degrees is flat terrain, 90 degrees is sheer terrain), modified by a random number between 0.0 and outerRange.	"rmAddMapTerrainByAngleInfo(string terrain, float minSlope, float maxSlope, float outerRange): Adds a terrain to paint on tiles that are sloped between the specified angles (0 degrees is flat terrain, 90 degrees is sheer terrain), modified by a random number between 0.0 and outerRange."	ds	1
00b68e00	rmAddMapTerrainByHeightInfo(string terrain, float minHeight, float maxHeight, float outerRange): Adds a terrain to paint between the specified heights, modified by a random number between 0.0 and outerRange.	"rmAddMapTerrainByHeightInfo(string terrain, float minHeight, float maxHeight, float outerRange): Adds a terrain to paint between the specified heights, modified by a random number between 0.0 and outerRange."	ds	1
00b68ef0	rmSetBaseTerrainMix(string mixName): Initializes the base terrain with the requested mix.  Call before rmTerrainInitialize.	"rmSetBaseTerrainMix(string mixName): Initializes the base terrain with the requested mix.  Call before rmTerrainInitialize."	ds	1
00b68f80	rmSetMapElevationParameters(int type, float freq, int octaves, float persistence, float variation): Sets up terrain for initializing with a noise layer.	"rmSetMapElevationParameters(int type, float freq, int octaves, float persistence, float variation): Sets up terrain for initializing with a noise layer."	ds	1
00b69038	rmSetSeaType(string name): Sets the sea type for the map.  This is used if terrain is initialized to water.	"rmSetSeaType(string name): Sets the sea type for the map.  This is used if terrain is initialized to water."	ds	1
00b690b4	rmGetSeaLevel(): Gets the sea level for the map.	"rmGetSeaLevel(): Gets the sea level for the map."	ds	1
00b690f8	rmSetSeaLevel(): Sets the sea level for the map.	"rmSetSeaLevel(): Sets the sea level for the map."	ds	1
00b691d4	rmSetMapSize( int x, int z ): Sets the size of the map.	"rmSetMapSize( int x, int z ): Sets the size of the map."	ds	1
00b69220	rmGetIsFFA(): Returns true if this map is set to be a FFA game which means each player on their own team.	"rmGetIsFFA(): Returns true if this map is set to be a FFA game which means each player on their own team."	ds	1
00b69298	rmGetNomadStart(): Returns true if this map is to place a covered wagon instead of a town center.	"rmGetNomadStart(): Returns true if this map is to place a covered wagon instead of a town center."	ds	1
00b69310	rmRandInt(int min, int max): Returns a random integer between min and max.	"rmRandInt(int min, int max): Returns a random integer between min and max."	ds	1
00b69368	rmRandFloat(float min, float max): Returns a random float between min and max.	"rmRandFloat(float min, float max): Returns a random float between min and max."	ds	1
00b693c4	rmEchoInfo( string echoString, int level ): Random map echo.	"rmEchoInfo( string echoString, int level ): Random map echo."	ds	1
00b69410	rmEchoError( string echoString, int level ): Random map echo.	"rmEchoError( string echoString, int level ): Random map echo."	ds	1
00b69460	rmEchoWarning( string echoString, int level ): Random map echo.	"rmEchoWarning( string echoString, int level ): Random map echo."	ds	1
00b6a930	uiPowerCircleMenu([on]) : turn on/off gamepad power panel circle menu.	"uiPowerCircleMenu([on]) : turn on/off gamepad power panel circle menu."	ds	1
00b6a990	uiCommandCircleMenu([on]) : turn on/off gamepad command panel circle menu.	"uiCommandCircleMenu([on]) : turn on/off gamepad command panel circle menu."	ds	1
00b6aa40	uiCommandPanelMove([x], [y]) : move between selections in the command panel.	"uiCommandPanelMove([x], [y]) : move between selections in the command panel."	ds	1
00b6aaa8	uiCommandPanelControl([on]) : turn on/off gamepad command panel control.	"uiCommandPanelControl([on]) : turn on/off gamepad command panel control."	ds	1
00b6ab10	changeCliffType(string cliffName): change the cliff type for all cliffs on the map	"changeCliffType(string cliffName): change the cliff type for all cliffs on the map"	ds	1
00b6ab74	modelDestroyAll()	"modelDestroyAll()"	ds	1
00b6ab98	modelSetAnim(anim Index)	"modelSetAnim(anim Index)"	ds	1
00b6abc4	modelLoad(model XML file name)	"modelLoad(model XML file name)"	ds	1
00b6ae0c	showCampaignDialog(<name><msg>): UI used only	"showCampaignDialog(<name><msg>): UI used only"	ds	1
00b6ae50	mpCustomScreenSetSavegame(<name>): UI used only	"mpCustomScreenSetSavegame(<name>): UI used only"	ds	1
00b6ae9c	enterCampaignMode(<name>): 	"enterCampaignMode(<name>): "	ds	1
00b6aecc	enterGCGameMode(<name>): 	"enterGCGameMode(<name>): "	ds	1
00b6aef8	enterRecordGameMode(<name>): 	"enterRecordGameMode(<name>): "	ds	1
00b6af9c	doMPSetup(bool useESO) : Enter BMultiplayer setup.	"doMPSetup(bool useESO) : Enter BMultiplayer setup."	ds	1
00b6afdc	doSPSetup() : Enter Single player setup.	"doSPSetup() : Enter Single player setup."	ds	1
00b6b2c0	setSunPosition( [integerSunInclination] [integerSunRotation] [boolRelative] ) sets the sun height above the horizon and position in the world, The bool tells if the changes are relative	"setSunPosition( [integerSunInclination] [integerSunRotation] [boolRelative] ) sets the sun height above the horizon and position in the world, The bool tells if the changes are relative"	ds	1
00b6b390	sunDecreaseRotation([integerKeyState]) : intended for ui use only.  Indicates that the decrease sun rotation key has gone up/down.	"sunDecreaseRotation([integerKeyState]) : intended for ui use only.  Indicates that the decrease sun rotation key has gone up/down."	ds	1
00b6b428	sunIncreaseRotation([integerKeyState]) : intended for ui use only.  Indicates that the increase sun rotation key has gone up/down.	"sunIncreaseRotation([integerKeyState]) : intended for ui use only.  Indicates that the increase sun rotation key has gone up/down."	ds	1
00b6b4c0	sunDecreaseInclination([integerKeyState]) : intended for ui use only.  Indicates that the decrease sun inclination key has gone up/down.	"sunDecreaseInclination([integerKeyState]) : intended for ui use only.  Indicates that the decrease sun inclination key has gone up/down."	ds	1
00b6b568	sunIncreaseInclination([integerKeyState]) : intended for ui use only.  Indicates that the increase sun inclination key has gone up/down.	"sunIncreaseInclination([integerKeyState]) : intended for ui use only.  Indicates that the increase sun inclination key has gone up/down."	ds	1
00b6b9a0	chat([stringText] {integerPlayer}) : adds a line of chat text from the given player (current if not provided.	"chat([stringText] {integerPlayer}) : adds a line of chat text from the given player (current if not provided."	ds	1
00b6ba18	minimapRotateMode({integerMode}) : changes the minimap rotation mode.  No arg means toggle.	"minimapRotateMode({integerMode}) : changes the minimap rotation mode.  No arg means toggle."	ds	1
00b6ba88	minimapZoom([floatZoom]) : sets the zoom factor of the minimap.	"minimapZoom([floatZoom]) : sets the zoom factor of the minimap."	ds	1
00b6bad8	minimapZoomDelta([floatZoomDelta]) : changes the zoom factor of the minimap up or down by that amount (remaining centered on the current view)	"minimapZoomDelta([floatZoomDelta]) : changes the zoom factor of the minimap up or down by that amount (remaining centered on the current view)"	ds	1
00b6bcd8	startRandomGameMapCode(<mapcode> : Generates a random map game with the given map code.	"startRandomGameMapCode(<mapcode> : Generates a random map game with the given map code."	ds	1
00b6bd48	startRandomGame2(<filename> <#players> <random seed> <scenarioFilename> <debug> <teamCount> <mapsize> <resources>) : begins a new random game with the given parms.	"startRandomGame2(<filename> <#players> <random seed> <scenarioFilename> <debug> <teamCount> <mapsize> <resources>) : begins a new random game with the given parms."	ds	1
00b6be40	sendPromptType(int sendingPlayer, int promptType): send AIChat to current player from sendingPlayer; specify desired AIChatPromptType.	"sendPromptType(int sendingPlayer, int promptType): send AIChat to current player from sendingPlayer; specify desired AIChatPromptType."	ds	1
00b6bed8	sendTributeSentence(int sendingPlayer, int receivingPlayer, int resourceID): send tribute sentence from one player to another; specify desired resource.	"sendTributeSentence(int sendingPlayer, int receivingPlayer, int resourceID): send tribute sentence from one player to another; specify desired resource."	ds	1
00b6bf88	sendDefendSentence(int sendingPlayer, int receivingPlayer, float xPos, float zPos): send defend sentence from one player to another; specify target xPos and zPos.	"sendDefendSentence(int sendingPlayer, int receivingPlayer, float xPos, float zPos): send defend sentence from one player to another; specify target xPos and zPos."	ds	1
00b6c040	sendAttackSentence(int sendingPlayer, int receivingPlayer, int targetPlayer, int targetUnit, float xPos, float zPos): send attack sentence from one player to another; specify targetPlayer, or targetUnit, or xPos and zPos.	"sendAttackSentence(int sendingPlayer, int receivingPlayer, int targetPlayer, int targetUnit, float xPos, float zPos): send attack sentence from one player to another; specify targetPlayer, or targetUnit, or xPos and zPos."	ds	1
00b6c260	showSPCNote(title, text) : Display's the SPC Note Dialog with the specified title and text.	"showSPCNote(title, text) : Display's the SPC Note Dialog with the specified title and text."	ds	1
00b6c2c8	setDropTerrainMips( int num ) : Set mip levels to skip for terrain category textures.	"setDropTerrainMips( int num ) : Set mip levels to skip for terrain category textures."	ds	1
00b6c338	setDropDefaultMips( int num ) : Set mip levels to skip for default category textures.	"setDropDefaultMips( int num ) : Set mip levels to skip for default category textures."	ds	1
00b6c3a8	cancelTrainReinforcement( int armyID ) : Cancel training of a reinforcement.	"cancelTrainReinforcement( int armyID ) : Cancel training of a reinforcement."	ds	1
00b6c414	trainReinforcement( int armyID ) : Trains a reinforcement.	"trainReinforcement( int armyID ) : Trains a reinforcement."	ds	1
00b6c468	startMoviePlayback(string filename, long sizing, float fadeIn, float fadeOut) : Start fullscreen playback of a movie.	"startMoviePlayback(string filename, long sizing, float fadeIn, float fadeOut) : Start fullscreen playback of a movie."	ds	1
00b6c4f8	vsync(int state) : Set vertical syncing (-1 toggles, 0 is off, 1 is on).	"vsync(int state) : Set vertical syncing (-1 toggles, 0 is off, 1 is on)."	ds	1
00b6c550	specialPower( int playerID, int powerEntryIndex, int powerID ) : Special power use.	"specialPower( int playerID, int powerEntryIndex, int powerID ) : Special power use."	ds	1
00b6c5b4	ability( int abilityId, int unitID ) : Explorer Abilities use.	"ability( int abilityId, int unitID ) : Explorer Abilities use."	ds	1
00b6c600	spawnUnits(protoname, count, unitID) : Spawn Units from the UnitID building.	"spawnUnits(protoname, count, unitID) : Spawn Units from the UnitID building."	ds	1
00b6c660	upgradeTradeRoute(int unitID) : UI use - upgrade the trade route associated with this unit.	"upgradeTradeRoute(int unitID) : UI use - upgrade the trade route associated with this unit."	ds	1
00b6c6d0	setWorldTooltipRectDims1024(minX, minY, maxX, maxY) : Sets the world tooltip restricted screen rectangle to the given dimensions relative to 1024x768 resolution.	"setWorldTooltipRectDims1024(minX, minY, maxX, maxY) : Sets the world tooltip restricted screen rectangle to the given dimensions relative to 1024x768 resolution."	ds	1
00b6c790	drawWorldTooltipClipRect() : Toggles whether or not to draw the world tooltip restricted screen rectangle.	"drawWorldTooltipClipRect() : Toggles whether or not to draw the world tooltip restricted screen rectangle."	ds	1
00b6c818	toggleWorldTooltipClipRect() : Toggles whether or not world tooltips are using the restricted screen rectangle.	"toggleWorldTooltipClipRect() : Toggles whether or not world tooltips are using the restricted screen rectangle."	ds	1
00b6c8a4	ransomExplorer() : ransoms your explorer	"ransomExplorer() : ransoms your explorer"	ds	1
00b6c8e0	breakTreaty() : break your treaties	"breakTreaty() : break your treaties"	ds	1
00b6c910	convertCoveredWagon() : Convert a covered wagon into a Town Center	"convertCoveredWagon() : Convert a covered wagon into a Town Center"	ds	1
00b6c968	setHomeCityGatherUnit(int unitID): Sets the home city gather point to the specified unit.	"setHomeCityGatherUnit(int unitID): Sets the home city gather point to the specified unit."	ds	1
00b6c9e0	cancelRepairUnit(int unitID): Cancels the auto repair on the specified unit.	"cancelRepairUnit(int unitID): Cancels the auto repair on the specified unit."	ds	1
00b6ca48	repairUnit(int unitID): Starts the auto repair on the specified unit.	"repairUnit(int unitID): Starts the auto repair on the specified unit."	ds	1
00b6cb08	loadUserDefinedGrouping(string groupingName) : Loads a grouping from the user writable grouping directory.	"loadUserDefinedGrouping(string groupingName) : Loads a grouping from the user writable grouping directory."	ds	1
00b6cb90	loadGrouping( string groupingName ) : Loads a grouping.  No parameter pops up dialog.	"loadGrouping( string groupingName ) : Loads a grouping.  No parameter pops up dialog."	ds	1
00b6cbf8	homeCityShipEject( int playerID, int buildingID, int puid, int index ) : Cancels the given unit out of the ship.	"homeCityShipEject( int playerID, int buildingID, int puid, int index ) : Cancels the given unit out of the ship."	ds	1
00b6cc80	mercTrain( int playerID, int buildingID, int puid ) : Trains the given merc from the given home city building.	"mercTrain( int playerID, int buildingID, int puid ) : Trains the given merc from the given home city building."	ds	1
00b6cd00	commandResearch( int commandID, int unitID) : Researches the given command from the given unit.	"commandResearch( int commandID, int unitID) : Researches the given command from the given unit."	ds	1
00b6cd70	tradeRouteTrain( int playerID, int tradeRoutUnit, int puid ) : Trains the given PUID from the given trade post on the trade route.	"tradeRouteTrain( int playerID, int tradeRoutUnit, int puid ) : Trains the given PUID from the given trade post on the trade route."	ds	1
00b6ce08	tradeRouteCommand( int playerID, int tradeRoutUnit, int commandID ) : Adds the given command to the trade post bucket.	"tradeRouteCommand( int playerID, int tradeRoutUnit, int commandID ) : Adds the given command to the trade post bucket."	ds	1
00b6ce94	fourOfAKind() : starts the four of a kind victory if valid.	"fourOfAKind() : starts the four of a kind victory if valid."	ds	1
00b6ced0	homeCityTransport( int playerID ) : Transports units from the home city.	"homeCityTransport( int playerID ) : Transports units from the home city."	ds	1
00b6cf30	homeCityTrain2( int playerID, int cardIndex ) : Sends the given HC card in the home city.	"homeCityTrain2( int playerID, int cardIndex ) : Sends the given HC card in the home city."	ds	1
00b6cfa0	homeCityTrain( int playerID, int buildingID, int puid ) : Trains the given PUID from the given home city building.	"homeCityTrain( int playerID, int buildingID, int puid ) : Trains the given PUID from the given home city building."	ds	1
00b6d028	lookAtHomeCityBuilding( int building ) : View the specific home city building.	"lookAtHomeCityBuilding( int building ) : View the specific home city building."	ds	1
00b6d090	toggleHomeCityViewTech( ) : Toggles tech home city view for the current player.	"toggleHomeCityViewTech( ) : Toggles tech home city view for the current player."	ds	1
00b6d0f8	toggleHomeCityView( ) : Toggles home city view for the current player.	"toggleHomeCityView( ) : Toggles home city view for the current player."	ds	1
00b6d158	playMovie() : Plays movies from a playlist in the AVI directory	"playMovie() : Plays movies from a playlist in the AVI directory"	ds	1
00b6d1b8	confirmAutoPatcher() : Used to tell autpatcher user pressed OK on exit or error dialog.	"confirmAutoPatcher() : Used to tell autpatcher user pressed OK on exit or error dialog."	ds	1
00b6d210	cancelAutoPatcher() : Cancel the auto patcher.	"cancelAutoPatcher() : Cancel the auto patcher."	ds	1
00b6d254	startAutoPatcher(bool manualMode) : Start the auto patcher.	"startAutoPatcher(bool manualMode) : Start the auto patcher."	ds	1
00b6d300	setGraphicDetail(<detailLevel>) : Sets the graphic detail.  (0 = HIGH, 1 = MEDIUM, 2 = LOW)	"setGraphicDetail(<detailLevel>) : Sets the graphic detail.  (0 = HIGH, 1 = MEDIUM, 2 = LOW)"	ds	1
00b6d370	setMinimapUnitFilter() : sets the minimap filter for units	"setMinimapUnitFilter() : sets the minimap filter for units"	ds	1
00b6d3c8	resetDefaultPlayerColors() : reloads the player colors from the XML file	"resetDefaultPlayerColors() : reloads the player colors from the XML file"	ds	1
00b6d430	lookAtArmy(int playerID, string armyName) : looks at given kb army.	"lookAtArmy(int playerID, string armyName) : looks at given kb army."	ds	1
00b6d480	lookAt(float x, float z) : looks at given x,z location on terrain.	"lookAt(float x, float z) : looks at given x,z location on terrain."	ds	1
00b6d4d0	helpText( string helptextSubstring ) - Lists all of the commands that contain the given substring in their help text.	"helpText( string helptextSubstring ) - Lists all of the commands that contain the given substring in their help text."	ds	1
00b6d548	help( string commandSubstring ) - Lists all of the commands that contain the given substring	"help( string commandSubstring ) - Lists all of the commands that contain the given substring"	ds	1
00b6d5b0	helpPrefix( string commandPrefix ) - Lists all of the commands that start with the given prefix	"helpPrefix( string commandPrefix ) - Lists all of the commands that start with the given prefix"	ds	1
00b6d620	modeToggleBetweenIfNotMP(<stringMode1> <stringMode2>) : toggles between the two modes only if we're not in a BMultiplayer game.	"modeToggleBetweenIfNotMP(<stringMode1> <stringMode2>) : toggles between the two modes only if we're not in a BMultiplayer game."	ds	1
00b6d748	startCampaign( string campaignName ) : starts the given campaign.	"startCampaign( string campaignName ) : starts the given campaign."	ds	1
00b6d79c	modeEnter(<stringMode>) : enters the named mode.	"modeEnter(<stringMode>) : enters the named mode."	ds	1
00b6d7e0	blackmap([integerState]) : toggles or sets unexplored black map rendering.	"blackmap([integerState]) : toggles or sets unexplored black map rendering."	ds	1
00b6d838	fog([integerState]) : toggles or sets LOS fog.	"fog([integerState]) : toggles or sets LOS fog."	ds	1
00b6d868	player([integerPlayer]) : with no arg, outputs current player.  otherwise, sets current player to given argument	"player([integerPlayer]) : with no arg, outputs current player.  otherwise, sets current player to given argument"	ds	1
00b6d8e0	display([integerState]) : with no arg, toggles display on/off.  otherwise, sets display	"display([integerState]) : with no arg, toggles display on/off.  otherwise, sets display"	ds	1
00b6d940	displayType([integerState]) : with no arg, cycles through the various status display modes.  otherwise sets display type	"displayType([integerState]) : with no arg, cycles through the various status display modes.  otherwise sets display type"	ds	1
00b6daf8	brushCircularSize([<floatValue>]) : sets the circular brush size	"brushCircularSize([<floatValue>]) : sets the circular brush size"	ds	1
00b6db50	brushSize([integerSize]) : sets brush size.	"brushSize([integerSize]) : sets brush size."	ds	1
00b6db88	loadLightingSet([name] [apply]) : loads the specified lighting set	"loadLightingSet([name] [apply]) : loads the specified lighting set"	ds	1
00b6dbe0	saveLightingSet([name]) : Saves the current status of lighting values as a set	"saveLightingSet([name]) : Saves the current status of lighting values as a set"	ds	1
00b6dc40	applyLightingSet([name]) : Applies a Lighting set	"applyLightingSet([name]) : Applies a Lighting set"	ds	1
00b6dc88	setTerrainLightingParams([bumpScale] [specularPower] [specularIntensity] [terrainMetalness]):sets Terrain Lighting Params	"setTerrainLightingParams([bumpScale] [specularPower] [specularIntensity] [terrainMetalness]):sets Terrain Lighting Params"	ds	1
00b6dd20	setBloomFeedbackParams([currentFrameContribution] [lastFrameContribution]):sets bloom feedback params	"setBloomFeedbackParams([currentFrameContribution] [lastFrameContribution]):sets bloom feedback params"	ds	1
00b6dda0	setBloomStreakParams([streakCount] [Passes] [ElementOffset] [Exposure] [Intensity] [Falloff] [streakRed] [streakGreen] [streakBlue] [threshold]):sets bloom streak params	"setBloomStreakParams([streakCount] [Passes] [ElementOffset] [Exposure] [Intensity] [Falloff] [streakRed] [streakGreen] [streakBlue] [threshold]):sets bloom streak params"	ds	1
